transicao_movimento,siglaTribunal,orgaoJulgador.codigoOrgao,count,min,max,median,C1,C2,C1-descricao,C2-descricao
1051.0 -> 1051.0,TJMG,3668.0,1,0.0,0.0,0.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,3786.0,1,209.0,209.0,209.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,3840.0,1,0.0,0.0,0.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,3867.0,1,15.0,15.0,15.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,3949.0,4,31.0,51.0,34.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,3976.0,1,2.0,2.0,2.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,4042.0,2,0.0,0.0,0.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,4067.0,1,38.0,38.0,38.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,4071.0,1,197.0,197.0,197.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,4150.0,1,0.0,0.0,0.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,4230.0,1,32.0,32.0,32.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,4301.0,1,0.0,0.0,0.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,4310.0,1,0.0,0.0,0.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,4327.0,1,0.0,0.0,0.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,4347.0,1,0.0,0.0,0.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,4376.0,2,0.0,31.0,15.5,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,4379.0,12,2.0,2.0,2.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,4392.0,1,46.0,46.0,46.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,4411.0,34,0.0,76.0,33.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,4422.0,1,2.0,2.0,2.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,5319.0,3,0.0,0.0,0.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,5346.0,1,0.0,0.0,0.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,5441.0,1,0.0,0.0,0.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,5500.0,4,0.0,37.0,1.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,5745.0,1,7.0,7.0,7.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,5780.0,1,91.0,91.0,91.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,5799.0,2,0.0,163.0,81.5,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,5836.0,1,0.0,0.0,0.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,5914.0,1,1.0,1.0,1.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,6269.0,1,2.0,2.0,2.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,8160.0,2,0.0,3.0,1.5,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,8166.0,1,0.0,0.0,0.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,13329.0,1,46.0,46.0,46.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,13351.0,1,0.0,0.0,0.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,13354.0,1,0.0,0.0,0.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,17957.0,2,0.0,0.0,0.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,39983.0,1,36.0,36.0,36.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,39985.0,1,19.0,19.0,19.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,81130.0,1,20.0,20.0,20.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 1051.0,TJMG,81492.0,3,0.0,11.0,3.0,1051.0,1051.0,Decurso de Prazo,Decurso de Prazo
1051.0 -> 106.0,TJMG,5539.0,1,3.0,3.0,3.0,1051.0,106.0,Decurso de Prazo,Mandado
1051.0 -> 106.0,TJMG,6441.0,1,6.0,6.0,6.0,1051.0,106.0,Decurso de Prazo,Mandado
1051.0 -> 106.0,TJMG,39984.0,1,27.0,27.0,27.0,1051.0,106.0,Decurso de Prazo,Mandado
1051.0 -> 106.0,TJMG,39985.0,1,160.0,160.0,160.0,1051.0,106.0,Decurso de Prazo,Mandado
1051.0 -> 11010.0,TJMG,3804.0,1,169.0,169.0,169.0,1051.0,11010.0,Decurso de Prazo,Mero expediente
1051.0 -> 11010.0,TJMG,3819.0,1,0.0,0.0,0.0,1051.0,11010.0,Decurso de Prazo,Mero expediente
1051.0 -> 11010.0,TJMG,3992.0,1,14.0,14.0,14.0,1051.0,11010.0,Decurso de Prazo,Mero expediente
1051.0 -> 11010.0,TJMG,4126.0,1,46.0,46.0,46.0,1051.0,11010.0,Decurso de Prazo,Mero expediente
1051.0 -> 11010.0,TJMG,5294.0,1,18.0,18.0,18.0,1051.0,11010.0,Decurso de Prazo,Mero expediente
1051.0 -> 11010.0,TJMG,5780.0,1,0.0,0.0,0.0,1051.0,11010.0,Decurso de Prazo,Mero expediente
1051.0 -> 11010.0,TJMG,5799.0,1,3.0,3.0,3.0,1051.0,11010.0,Decurso de Prazo,Mero expediente
1051.0 -> 11010.0,TJMG,6128.0,5,0.0,0.0,0.0,1051.0,11010.0,Decurso de Prazo,Mero expediente
1051.0 -> 11010.0,TJMG,8166.0,3,20.0,20.0,20.0,1051.0,11010.0,Decurso de Prazo,Mero expediente
1051.0 -> 11010.0,TJMG,11364.0,2,7.0,8.0,7.5,1051.0,11010.0,Decurso de Prazo,Mero expediente
1051.0 -> 11010.0,TJMG,12921.0,1,11.0,11.0,11.0,1051.0,11010.0,Decurso de Prazo,Mero expediente
1051.0 -> 11010.0,TJMG,13354.0,1,68.0,68.0,68.0,1051.0,11010.0,Decurso de Prazo,Mero expediente
1051.0 -> 11010.0,TJMG,15644.0,2,0.0,0.0,0.0,1051.0,11010.0,Decurso de Prazo,Mero expediente
1051.0 -> 11013.0,TJMG,3816.0,1,0.0,0.0,0.0,1051.0,11013.0,Decurso de Prazo,Convenção das Partes
1051.0 -> 11013.0,TJMG,4347.0,1,0.0,0.0,0.0,1051.0,11013.0,Decurso de Prazo,Convenção das Partes
1051.0 -> 11013.0,TJMG,4411.0,1,46.0,46.0,46.0,1051.0,11013.0,Decurso de Prazo,Convenção das Partes
1051.0 -> 11013.0,TJMG,5230.0,1,0.0,0.0,0.0,1051.0,11013.0,Decurso de Prazo,Convenção das Partes
1051.0 -> 11013.0,TJMG,39984.0,1,0.0,0.0,0.0,1051.0,11013.0,Decurso de Prazo,Convenção das Partes
1051.0 -> 11013.0,TJMG,81401.0,1,0.0,0.0,0.0,1051.0,11013.0,Decurso de Prazo,Convenção das Partes
1051.0 -> 11014.0,TJMG,4411.0,2,0.0,32.0,16.0,1051.0,11014.0,Decurso de Prazo,Convenção das Partes para Cumprimento Voluntário da obrigação
1051.0 -> 11014.0,TJMG,5718.0,1,0.0,0.0,0.0,1051.0,11014.0,Decurso de Prazo,Convenção das Partes para Cumprimento Voluntário da obrigação
1051.0 -> 11018.0,TJMG,4096.0,1,71.0,71.0,71.0,1051.0,11018.0,Decurso de Prazo,Recebimento de Embargos à Execução
1051.0 -> 11018.0,TJMG,4422.0,1,0.0,0.0,0.0,1051.0,11018.0,Decurso de Prazo,Recebimento de Embargos à Execução
1051.0 -> 11018.0,TJMG,5346.0,1,0.0,0.0,0.0,1051.0,11018.0,Decurso de Prazo,Recebimento de Embargos à Execução
1051.0 -> 11018.0,TJMG,5441.0,2,0.0,222.0,111.0,1051.0,11018.0,Decurso de Prazo,Recebimento de Embargos à Execução
1051.0 -> 11018.0,TJMG,5799.0,1,7.0,7.0,7.0,1051.0,11018.0,Decurso de Prazo,Recebimento de Embargos à Execução
1051.0 -> 11018.0,TJMG,11013.0,1,1.0,1.0,1.0,1051.0,11018.0,Decurso de Prazo,Recebimento de Embargos à Execução
1051.0 -> 11382.0,TJMG,4401.0,1,0.0,0.0,0.0,1051.0,11382.0,Decurso de Prazo,Bloqueio/penhora on line
1051.0 -> 11382.0,TJMG,6128.0,1,0.0,0.0,0.0,1051.0,11382.0,Decurso de Prazo,Bloqueio/penhora on line
1051.0 -> 11382.0,TJMG,81401.0,1,44.0,44.0,44.0,1051.0,11382.0,Decurso de Prazo,Bloqueio/penhora on line
1051.0 -> 11383.0,TJMG,3115.0,2,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,3297.0,1,122.0,122.0,122.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,3691.0,2,8.0,63.0,35.5,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,3727.0,1,6.0,6.0,6.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,3764.0,1,9.0,9.0,9.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,3775.0,2,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,3780.0,1,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,3784.0,1,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,3790.0,1,48.0,48.0,48.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,3792.0,11,0.0,4.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,3820.0,14,0.0,12.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,3823.0,2,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,3840.0,2,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,3883.0,4,0.0,52.0,2.5,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,3889.0,6,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,3897.0,1,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,3900.0,3,2.0,47.0,18.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,3917.0,1,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,3933.0,1,298.0,298.0,298.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,3941.0,4,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,3946.0,11,1.0,83.0,26.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,3949.0,2,48.0,53.0,50.5,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,3960.0,4,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,3967.0,3,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,3974.0,20,0.0,68.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,3977.0,2,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,3991.0,8,0.0,54.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,3992.0,3,4.0,66.0,15.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,3993.0,3,0.0,205.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4001.0,3,2.0,8.0,6.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4016.0,2,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4017.0,1,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4020.0,1,44.0,44.0,44.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4024.0,1,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4037.0,1,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4045.0,5,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4050.0,1,203.0,203.0,203.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4056.0,24,0.0,231.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4083.0,1,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4096.0,2,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4103.0,3,6.0,29.0,15.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4110.0,12,0.0,110.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4160.0,5,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4167.0,5,0.0,22.0,22.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4227.0,2,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4230.0,6,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4269.0,1,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4273.0,2,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4276.0,10,0.0,63.0,38.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4297.0,3,0.0,13.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4301.0,2,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4327.0,3,0.0,4.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4329.0,3,37.0,49.0,45.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4332.0,18,0.0,11.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4333.0,10,6.0,82.0,13.5,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4340.0,3,5.0,43.0,6.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4342.0,15,0.0,13.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4347.0,32,0.0,1.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4358.0,1,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4376.0,23,0.0,32.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4392.0,2,0.0,3.0,1.5,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4401.0,5,0.0,4.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4406.0,22,0.0,14.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4409.0,2,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,4411.0,8,0.0,60.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5021.0,1,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5294.0,1,2.0,2.0,2.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5317.0,1,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5319.0,1,15.0,15.0,15.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5324.0,1,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5325.0,21,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5330.0,13,0.0,1.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5343.0,1,6.0,6.0,6.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5363.0,1,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5366.0,2,0.0,6.0,3.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5372.0,11,0.0,62.0,32.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5406.0,2,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5416.0,14,0.0,5.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5420.0,10,0.0,296.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5441.0,2,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5457.0,1,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5468.0,8,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5500.0,16,0.0,1.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5506.0,5,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5511.0,15,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5535.0,1,52.0,52.0,52.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5597.0,1,48.0,48.0,48.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5718.0,8,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5721.0,1,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5758.0,2,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5760.0,10,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5766.0,19,0.0,67.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5780.0,57,0.0,37.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5799.0,53,0.0,113.0,3.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,5939.0,2,0.0,8.0,4.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,6035.0,1,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,6125.0,3,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,6128.0,40,0.0,109.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,6193.0,2,336.0,524.0,430.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,6233.0,4,0.0,31.0,9.5,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,6241.0,3,0.0,5.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,6263.0,1,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,6269.0,1,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,6422.0,2,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,6427.0,1,25.0,25.0,25.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,6452.0,30,0.0,181.0,49.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,8160.0,47,0.0,56.0,8.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,8166.0,16,0.0,6.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,8168.0,2,18.0,54.0,36.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,8169.0,1,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,8170.0,31,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,8171.0,3,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,9236.0,2,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,11013.0,6,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,11156.0,11,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,11224.0,3,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,11651.0,2,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,11659.0,1,35.0,35.0,35.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,12914.0,1,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,12921.0,1,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,13095.0,2,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,13099.0,2,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,13100.0,2,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,13329.0,1,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,13351.0,1,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,13354.0,204,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,15644.0,3,0.0,5.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,17956.0,12,0.0,154.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,39983.0,3,0.0,96.0,85.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,39984.0,66,0.0,5.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,39985.0,5,0.0,77.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,81131.0,1,177.0,177.0,177.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,81132.0,1,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,81133.0,2,0.0,0.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,81401.0,10,0.0,61.0,0.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
1051.0 -> 11383.0,TJMG,81467.0,1,2.0,2.0,2.0,1051.0,11383.0,Decurso de Prazo,Ato ordinatório
